            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  6.253105788238640E-02,  3.570157160195780E+05,  2.325318631898455E+01,  1.335674839291536E+01,  1.675204123831447E+02,  2.458837216951903E+06,  1.548640007512878E-04,  1.643502501802978E+02,  1.661472632534166E+02,  3.808293800252503E+05,  4.046430440309225E+05,  2.324620300738333E+06,
2458849.541666667, A.D. 2020-Jan-01 01:00:00.0000,  6.264913232563296E-02,  3.569269589439610E+05,  2.325319659878427E+01,  1.335673564552852E+01,  1.674643564173215E+02,  2.458837214754197E+06,  1.548925016898906E-04,  1.649675212267762E+02,  1.666980156140864E+02,  3.807826623444876E+05,  4.046383657450143E+05,  2.324192559822901E+06,
2458849.583333333, A.D. 2020-Jan-01 02:00:00.0000,  6.276570757848507E-02,  3.568394461776369E+05,  2.325320699730379E+01,  1.335672303159619E+01,  1.674089826729099E+02,  2.458837212572880E+06,  1.549205799498258E-04,  1.655843371730454E+02,  1.672479207900134E+02,  3.807366515107737E+05,  4.046338568439105E+05,  2.323771316351858E+06,
2458849.625000000, A.D. 2020-Jan-01 03:00:00.0000,  6.288075400134500E-02,  3.567531993784742E+05,  2.325321750400956E+01,  1.335671056759403E+01,  1.673542739995381E+02,  2.458837210405962E+06,  1.549482280890694E-04,  1.662007117214530E+02,  1.677970015691079E+02,  3.806913590791691E+05,  4.046295187798639E+05,  2.323356674934418E+06,
2458849.666666667, A.D. 2020-Jan-01 04:00:00.0000,  6.299424245532279E-02,  3.566682398259003E+05,  2.325322810817871E+01,  1.335669826937274E+01,  1.673002128438717E+02,  2.458837208251435E+06,  1.549754387827294E-04,  1.668166589172914E+02,  1.683452811713659E+02,  3.806467964087125E+05,  4.046253529915247E+05,  2.322948738378528E+06,
2458849.708333333, A.D. 2020-Jan-01 05:00:00.0000,  6.310614431714555E-02,  3.565845884141194E+05,  2.325323879890475E+01,  1.335668615214676E+01,  1.672467812626706E+02,  2.458837206107265E+06,  1.550022048246792E-04,  1.674321931367116E+02,  1.688927832352619E+02,  3.806029746605852E+05,  4.046213609070509E+05,  2.322547607675586E+06,
2458849.750000000, A.D. 2020-Jan-01 06:00:00.0000,  6.321643149371803E-02,  3.565022656455039E+05,  2.325324956510340E+01,  1.335667423048308E+01,  1.671939609356952E+02,  2.458837203971401E+06,  1.550285191291649E-04,  1.680473290748032E+02,  1.694395318042919E+02,  3.805599047963161E+05,  4.046175439471282E+05,  2.322153381985538E+06,
2458849.791666667, A.D. 2020-Jan-01 07:00:00.0000,  6.332507643633330E-02,  3.564212916241569E+05,  2.325326039551863E+01,  1.335666251829056E+01,  1.671417331784565E+02,  2.458837201841769E+06,  1.550543747323854E-04,  1.686620817338437E+02,  1.699855513136696E+02,  3.805175975760290E+05,  4.046139035279011E+05,  2.321766158622344E+06,
2458849.833333333, A.D. 2020-Jan-01 08:00:00.0000,  6.343205215453317E-02,  3.563416860496513E+05,  2.325327127872854E+01,  1.335665102880941E+01,  1.670900789548105E+02,  2.458837199716279E+06,  1.550797647940454E-04,  1.692764664117172E+02,  1.705308665771795E+02,  3.804760635567334E+05,  4.046104410638156E+05,  2.321386033039837E+06,
2458849.875000000, A.D. 2020-Jan-01 09:00:00.0000,  6.353733222962341E-02,  3.562634682109319E+05,  2.325328220315160E+01,  1.335663977460101E+01,  1.670389788893940E+02,  2.458837197592823E+06,  1.551046825988808E-04,  1.698904986905046E+02,  1.710755027741858E+02,  3.804353130906536E+05,  4.046071579703752E+05,  2.321013098817931E+06,
2458849.916666667, A.D. 2020-Jan-01 10:00:00.0000,  6.364089082783342E-02,  3.561866569803925E+05,  2.325329315705273E+01,  1.335662876753805E+01,  1.669884132799007E+02,  2.458837195469277E+06,  1.551291215581587E-04,  1.705041944252461E+02,  1.716194854367997E+02,  3.803953563235973E+05,  4.046040556668020E+05,  2.320647447649178E+06,
2458849.958333333, A.D. 2020-Jan-01 11:00:00.0000,  6.374270271313330E-02,  3.561112708081149E+05,  2.325330412854976E+01,  1.335661801879502E+01,  1.669383621091984E+02,  2.458837193343502E+06,  1.551530752111481E-04,  1.711175697328773E+02,  1.721628404372062E+02,  3.803562031933657E+05,  4.046011355786165E+05,  2.320289169325683E+06,
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  6.384274325970309E-02,  3.560373277162744E+05,  2.325331510561969E+01,  1.335660753883896E+01,  1.668888050572868E+02,  2.458837191213343E+06,  1.551765372265651E-04,  1.717306409813346E+02,  1.727055939751461E+02,  3.803178634281998E+05,  4.045983991401253E+05,  2.319938351726349E+06,
2458850.041666667, A.D. 2020-Jan-01 13:00:00.0000,  6.394098846404708E-02,  3.559648452937120E+05,  2.325332607610516E+01,  1.335659733742060E+01,  1.668397215130975E+02,  2.458837189076636E+06,  1.551995014039889E-04,  1.723434247788321E+02,  1.732477725655575E+02,  3.802803465452669E+05,  4.045958477968218E+05,  2.319595080804476E+06,
2458850.083333333, A.D. 2020-Jan-01 14:00:00.0000,  6.403741495677009E-02,  3.558938406906642E+05,  2.325333702772107E+01,  1.335658742356574E+01,  1.667910905861366E+02,  2.458837186931201E+06,  1.552219616752516E-04,  1.729559379633081E+02,  1.737894030263714E+02,  3.802436618491820E+05,  4.045934830076999E+05,  2.319259440575656E+06,
